pair,base,quote,rates_raw,growth_raw,risk_raw,positioning_raw,rates_score,growth_score,risk_score,positioning_score,rates,growth,risk,positioning,total_score,score,final_bias,bias,conviction_tier,conviction_abs,conviction_score,w_rates,w_growth,w_risk,w_positioning,rates_obs_date,rates_age_days,rates_stale,growth_obs_date,growth_age_days,growth_stale,risk_obs_date,risk_age_days,risk_stale,pos_obs_date,pos_age_days,pos_stale,pos_report_date,pos_release_dt,pos_base_report_date,pos_base_release_dt,pos_quote_report_date,pos_quote_release_dt,overall_staleness_flag,_pillar_meta,as_of,bias_num
AUDJPY,AUD,JPY,2.941,-0.11189311173924232,-1.0,3.3410814018194035,1.0,-1.0,-1.0,0.9316231354751964,1.0,-1.0,-1.0,0.9316231354751964,0.28632462709503925,0.28632462709503925,BULL_BASE,BULL_BASE,MODERATE,0.28632462709503925,0.28632462709503925,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.0065512319644520645, ""base_start_date"": ""2025-11-12"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.11844434370369439, ""quote_start_date"": ""2025-11-10""}, ""positioning"": {""base"": {""contract"": ""AUSTRALIAN DOLLAR"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 3.2374996795624016}, ""quote"": {""contract"": ""JAPANESE YEN"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": -0.10358172225700195}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 4.228, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 1.287}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,1
AUDUSD,AUD,USD,0.8099999999999996,0.008704227474544135,-0.25,3.2374996795624016,0.4049999999999998,0.08704227474544135,-0.25,0.9244426483847288,0.4049999999999998,0.08704227474544135,-0.25,0.9244426483847288,0.34704698462603395,0.34704698462603395,BULL_BASE,BULL_BASE,MODERATE,0.34704698462603395,0.34704698462603395,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,,,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.0065512319644520645, ""base_start_date"": ""2025-11-12"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": -0.0021529955100920706, ""quote_start_date"": ""2025-11-12""}, ""positioning"": {""base"": {""contract"": ""AUSTRALIAN DOLLAR"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 3.2374996795624016}, ""quote"": {""contract"": null, ""release_dt"": null, ""report_date"": null, ""synthetic"": true, ""z"": 0.0}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 4.228, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 3.418}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,1
EURCHF,EUR,CHF,2.1510000000000002,-0.05764232088976562,-0.5,1.007254506181133,1.0,-0.5764232088976562,-0.5,0.46496501611400937,1.0,-0.5764232088976562,-0.5,0.46496501611400937,0.35270836144327067,0.35270836144327067,BULL_BASE,BULL_BASE,MODERATE,0.35270836144327067,0.35270836144327067,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.03432488959260316, ""base_start_date"": ""2025-11-11"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.09196721048236878, ""quote_start_date"": ""2025-11-10""}, ""positioning"": {""base"": {""contract"": ""EURO FX"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 1.5897800058383242}, ""quote"": {""contract"": ""SWISS FRANC"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 0.5825254996571911}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 2.036, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": -0.115}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,1
EURGBP,EUR,GBP,-1.5630000000000002,-0.03079448624347636,0.0,1.002028321456566,-0.7815000000000001,-0.3079448624347636,0.0,0.4629143677707816,-0.7815000000000001,-0.3079448624347636,0.0,0.4629143677707816,-0.32068109893279645,-0.32068109893279645,BEAR_BASE,BEAR_BASE,MODERATE,0.32068109893279645,0.32068109893279645,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.03432488959260316, ""base_start_date"": ""2025-11-11"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.06511937583607952, ""quote_start_date"": ""2025-11-13""}, ""positioning"": {""base"": {""contract"": ""EURO FX"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 1.5897800058383242}, ""quote"": {""contract"": ""BRITISH POUND"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 0.5877516843817584}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 2.036, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 3.599}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,-1
EURJPY,EUR,JPY,0.7490000000000001,-0.08411945411109123,-0.5,1.6933617280953261,0.37450000000000006,-0.8411945411109123,-0.5,0.6893314968120584,0.37450000000000006,-0.8411945411109123,-0.5,0.6893314968120584,0.06315239114022926,0.06315239114022926,NEUTRAL,NEUTRAL,NONE,0.06315239114022926,0.06315239114022926,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.03432488959260316, ""base_start_date"": ""2025-11-11"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.11844434370369439, ""quote_start_date"": ""2025-11-10""}, ""positioning"": {""base"": {""contract"": ""EURO FX"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 1.5897800058383242}, ""quote"": {""contract"": ""JAPANESE YEN"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": -0.10358172225700195}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 2.036, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 1.287}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,0
EURUSD,EUR,USD,-1.3820000000000001,0.03647788510269523,0.25,1.5897800058383242,-0.6910000000000001,0.3647788510269523,0.25,0.6611702983556056,-0.6910000000000001,0.3647788510269523,0.25,0.6611702983556056,-0.06826017012348848,-0.06826017012348848,NEUTRAL,NEUTRAL,NONE,0.06826017012348848,0.06826017012348848,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,,,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.03432488959260316, ""base_start_date"": ""2025-11-11"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": -0.0021529955100920706, ""quote_start_date"": ""2025-11-12""}, ""positioning"": {""base"": {""contract"": ""EURO FX"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 1.5897800058383242}, ""quote"": {""contract"": null, ""release_dt"": null, ""report_date"": null, ""synthetic"": true, ""z"": 0.0}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 2.036, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 3.418}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,0
GBPJPY,GBP,JPY,2.3120000000000003,-0.05332496786761487,-0.5,0.6913334066387603,1.0,-0.5332496786761487,-0.5,0.3325269680509278,1.0,-0.5332496786761487,-0.5,0.3325269680509278,0.33485545787495585,0.33485545787495585,BULL_BASE,BULL_BASE,MODERATE,0.33485545787495585,0.33485545787495585,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.06511937583607952, ""base_start_date"": ""2025-11-13"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.11844434370369439, ""quote_start_date"": ""2025-11-10""}, ""positioning"": {""base"": {""contract"": ""BRITISH POUND"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 0.5877516843817584}, ""quote"": {""contract"": ""JAPANESE YEN"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": -0.10358172225700195}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 3.599, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 1.287}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,1
GBPUSD,GBP,USD,0.18100000000000005,0.06727237134617159,0.25,0.5877516843817584,0.09050000000000002,0.6727237134617159,0.25,0.2856982231501802,0.09050000000000002,0.6727237134617159,0.25,0.2856982231501802,0.26990938732237924,0.26990938732237924,BULL_BASE,BULL_BASE,MODERATE,0.26990938732237924,0.26990938732237924,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,,,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": 0.06511937583607952, ""base_start_date"": ""2025-11-13"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": -0.0021529955100920706, ""quote_start_date"": ""2025-11-12""}, ""positioning"": {""base"": {""contract"": ""BRITISH POUND"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": 0.5877516843817584}, ""quote"": {""contract"": null, ""release_dt"": null, ""report_date"": null, ""synthetic"": true, ""z"": 0.0}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 3.599, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 3.418}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,1
NZDUSD,NZD,USD,-0.13600000000000012,-0.027717158225239014,-0.25,-1.3252434137835063,-0.06800000000000006,-0.27717158225239014,-0.25,-0.5801055023511549,-0.06800000000000006,-0.27717158225239014,-0.25,-0.5801055023511549,-0.23955541692070903,-0.23955541692070903,BEAR_BASE,BEAR_BASE,MODERATE,0.23955541692070903,0.23955541692070903,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,2026-02-10,2026-02-13 23:59:59+00:00,,,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": -0.029870153735331084, ""base_start_date"": ""2025-11-11"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": -0.0021529955100920706, ""quote_start_date"": ""2025-11-12""}, ""positioning"": {""base"": {""contract"": ""NZ DOLLAR"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": -1.3252434137835063}, ""quote"": {""contract"": null, ""release_dt"": null, ""report_date"": null, ""synthetic"": true, ""z"": 0.0}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 3.282, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 3.418}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,-1
USDCAD,USD,CAD,0.9430000000000001,-0.10181648369560481,0.25,0.738027270230565,0.47150000000000003,-1.0,0.25,0.3531286480347331,0.47150000000000003,-1.0,0.25,0.3531286480347331,0.12030072960694663,0.12030072960694663,NEUTRAL,NEUTRAL,NONE,0.12030072960694663,0.12030072960694663,0.45,0.2,0.15,0.2,2026-02-13,0.0,False,2026-02-13,0.0,False,2026-02-13,0,False,2026-02-10,3,False,,,,,2026-02-10,2026-02-13 23:59:59+00:00,False,"{""growth"": {""base_obs_date"": ""2026-02-13"", ""base_return_63d"": -0.0021529955100920706, ""base_start_date"": ""2025-11-12"", ""mode"": ""proxy"", ""quote_obs_date"": ""2026-02-13"", ""quote_return_63d"": 0.09966348818551274, ""quote_start_date"": ""2025-11-17""}, ""positioning"": {""base"": {""contract"": null, ""release_dt"": null, ""report_date"": null, ""synthetic"": true, ""z"": 0.0}, ""quote"": {""contract"": ""CANADIAN DOLLAR"", ""release_dt"": ""2026-02-13 23:59:59+00:00"", ""report_date"": ""2026-02-10"", ""synthetic"": false, ""z"": -0.738027270230565}}, ""rates"": {""base_obs_date"": ""2026-02-13"", ""base_yield"": 3.418, ""quote_obs_date"": ""2026-02-13"", ""quote_yield"": 2.475}, ""risk"": {""regime"": {""as_of"": ""2026-02-13"", ""dxy_age_days"": 0, ""dxy_obs_date"": ""2026-02-13"", ""dxy_sma200"": 120.47096400000001, ""dxy_sma50"": 119.312646, ""dxy_stale"": false, ""obs_date"": ""2026-02-13"", ""risk_on"": false, ""spx_age_days"": 0, ""spx_obs_date"": ""2026-02-13"", ""spx_sma200"": 6504.720600000001, ""spx_sma50"": 6894.634, ""spx_stale"": false, ""stale_components"": [], ""usd_bid"": false, ""vix"": 20.6, ""vix_age_days"": 0, ""vix_obs_date"": ""2026-02-13"", ""vix_sma20"": 17.873, ""vix_stale"": false}}}",2026-02-13,0
