Date,Open,High,Low,Close,Volume
1988-07-01,1507.5,1507.5,1507.5,1507.5,0
1988-07-04,1516.2,1516.2,1516.2,1516.2,0
1988-07-05,1529,1529,1529,1529,0
1988-07-06,1549.7,1549.7,1549.7,1549.7,0
1988-07-07,1542.6,1542.6,1542.6,1542.6,0
1988-07-08,1553.7,1553.7,1553.7,1553.7,0
1988-07-11,1555.7,1555.7,1555.7,1555.7,0
1988-07-12,1541.6,1541.6,1541.6,1541.6,0
1988-07-13,1532.1,1532.1,1532.1,1532.1,0
1988-07-14,1531.6,1531.6,1531.6,1531.6,0
1988-07-15,1536.4,1536.4,1536.4,1536.4,0
1988-07-18,1543.2,1543.2,1543.2,1543.2,0
1988-07-19,1528.9,1528.9,1528.9,1528.9,0
1988-07-20,1534,1534,1534,1534,0
1988-07-21,1536.8,1536.8,1536.8,1536.8,0
1988-07-22,1523.9,1523.9,1523.9,1523.9,0
1988-07-25,1514.8,1514.8,1514.8,1514.8,0
1988-07-26,1511.8,1511.8,1511.8,1511.8,0
1988-07-27,1514.5,1514.5,1514.5,1514.5,0
1988-07-28,1505.8,1505.8,1505.8,1505.8,0
1988-07-29,1512,1512,1512,1512,0
1988-08-02,1518.6,1518.6,1518.6,1518.6,0
1988-08-03,1522.7,1522.7,1522.7,1522.7,0
1988-08-04,1538.5,1538.5,1538.5,1538.5,0
1988-08-05,1560.7,1560.7,1560.7,1560.7,0
1988-08-08,1564.3,1564.3,1564.3,1564.3,0
1988-08-09,1562.3,1562.3,1562.3,1562.3,0
1988-08-10,1546.6,1546.6,1546.6,1546.6,0
1988-08-11,1523.7,1523.7,1523.7,1523.7,0
1988-08-12,1525.2,1525.2,1525.2,1525.2,0
1988-08-15,1510.8,1510.8,1510.8,1510.8,0
1988-08-16,1492.2,1492.2,1492.2,1492.2,0
1988-08-17,1517.5,1517.5,1517.5,1517.5,0
1988-08-18,1505.8,1505.8,1505.8,1505.8,0
1988-08-19,1509,1509,1509,1509,0
1988-08-22,1515.1,1515.1,1515.1,1515.1,0
1988-08-23,1499.2,1499.2,1499.2,1499.2,0
1988-08-24,1495.4,1495.4,1495.4,1495.4,0
1988-08-25,1487.4,1487.4,1487.4,1487.4,0
1988-08-26,1491.7,1491.7,1491.7,1491.7,0
1988-08-29,1478.4,1478.4,1478.4,1478.4,0
1988-08-30,1484,1484,1484,1484,0
1988-08-31,1479.1,1479.1,1479.1,1479.1,0
1988-09-01,1467.4,1467.4,1467.4,1467.4,0
1988-09-02,1463.4,1463.4,1463.4,1463.4,0
1988-09-05,1475.9,1475.9,1475.9,1475.9,0
1988-09-06,1473.7,1473.7,1473.7,1473.7,0
1988-09-07,1471.9,1471.9,1471.9,1471.9,0
1988-09-08,1462.9,1462.9,1462.9,1462.9,0
1988-09-09,1452.7,1452.7,1452.7,1452.7,0
1988-09-12,1455.4,1455.4,1455.4,1455.4,0
1988-09-13,1465.1,1465.1,1465.1,1465.1,0
1988-09-14,1476.7,1476.7,1476.7,1476.7,0
1988-09-15,1489,1489,1489,1489,0
1988-09-16,1486.5,1486.5,1486.5,1486.5,0
1988-09-19,1506,1506,1506,1506,0
1988-09-20,1496.2,1496.2,1496.2,1496.2,0
1988-09-21,1521.3,1521.3,1521.3,1521.3,0
1988-09-22,1533.4,1533.4,1533.4,1533.4,0
1988-09-23,1533.7,1533.7,1533.7,1533.7,0
1988-09-26,1547.8,1547.8,1547.8,1547.8,0
1988-09-27,1540.9,1540.9,1540.9,1540.9,0
1988-09-28,1536.3,1536.3,1536.3,1536.3,0
1988-09-29,1540.9,1540.9,1540.9,1540.9,0
1988-09-30,1543.4,1543.4,1543.4,1543.4,0
1988-10-03,1538,1538,1538,1538,0
1988-10-04,1533.2,1533.2,1533.2,1533.2,0
1988-10-05,1538,1538,1538,1538,0
1988-10-06,1542.8,1542.8,1542.8,1542.8,0
1988-10-07,1555,1555,1555,1555,0
1988-10-10,1568.5,1568.5,1568.5,1568.5,0
1988-10-11,1562.6,1562.6,1562.6,1562.6,0
1988-10-12,1552.8,1552.8,1552.8,1552.8,0
1988-10-13,1551.7,1551.7,1551.7,1551.7,0
1988-10-14,1559.5,1559.5,1559.5,1559.5,0
1988-10-17,1554.7,1554.7,1554.7,1554.7,0
1988-10-18,1555.3,1555.3,1555.3,1555.3,0
1988-10-19,1573.6,1573.6,1573.6,1573.6,0
1988-10-20,1577.5,1577.5,1577.5,1577.5,0
1988-10-21,1590.2,1590.2,1590.2,1590.2,0
1988-10-24,1587.7,1587.7,1587.7,1587.7,0
1988-10-25,1588.3,1588.3,1588.3,1588.3,0
1988-10-26,1597.2,1597.2,1597.2,1597.2,0
1988-10-27,1588.3,1588.3,1588.3,1588.3,0
1988-10-28,1596.8,1596.8,1596.8,1596.8,0
1988-10-31,1590.8,1590.8,1590.8,1590.8,0
1988-11-01,1596.4,1596.4,1596.4,1596.4,0
1988-11-02,1604.3,1604.3,1604.3,1604.3,0
1988-11-03,1593.4,1593.4,1593.4,1593.4,0
1988-11-04,1594,1594,1594,1594,0
1988-11-07,1578.7,1578.7,1578.7,1578.7,0
1988-11-08,1584.4,1584.4,1584.4,1584.4,0
1988-11-09,1579.3,1579.3,1579.3,1579.3,0
1988-11-10,1561,1561,1561,1561,0
1988-11-11,1540.7,1540.7,1540.7,1540.7,0
1988-11-14,1533.9,1533.9,1533.9,1533.9,0
1988-11-15,1531.7,1531.7,1531.7,1531.7,0
1988-11-16,1542.7,1542.7,1542.7,1542.7,0
1988-11-17,1528.6,1528.6,1528.6,1528.6,0
1988-11-18,1428.2,1428.2,1428.2,1428.2,0
1988-11-21,1382,1382,1382,1382,0
